epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.167,1.02922,1.62118,1.20366,0.81173,0.71319,0.79601,0.54233,1.09392,1.41142,1.25419,0.000664042,0.000664042,0.000664042
2,362.993,1.13877,1.16873,1.2579,0.84397,0.75236,0.8259,0.55031,1.14029,1.10285,1.27516,0.00131753,0.00131753,0.00131753
3,481.649,1.15405,1.05199,1.26541,0.85213,0.69328,0.76376,0.52145,1.12273,1.16326,1.24818,0.00195783,0.00195783,0.00195783
4,601.722,1.13207,0.97504,1.2666,0.8417,0.7796,0.84793,0.59833,1.03877,0.897,1.21209,0.0019406,0.0019406,0.0019406
5,737.405,1.06579,0.89694,1.21644,0.91678,0.82828,0.90794,0.66185,0.98531,0.78533,1.15008,0.0019208,0.0019208,0.0019208
6,869.704,1.02702,0.85269,1.1973,0.92654,0.86967,0.92708,0.69436,0.88728,0.66341,1.09329,0.001901,0.001901,0.001901
7,987.755,1.00602,0.80053,1.19137,0.90565,0.86605,0.91788,0.69096,0.88187,0.69234,1.09557,0.0018812,0.0018812,0.0018812
8,1128.01,0.97029,0.75663,1.16032,0.9405,0.87151,0.93086,0.7229,0.82231,0.60133,1.0441,0.0018614,0.0018614,0.0018614
9,1312.37,0.94202,0.73284,1.15013,0.96093,0.89348,0.95038,0.73799,0.82689,0.54537,1.06827,0.0018416,0.0018416,0.0018416
10,1498.9,0.92819,0.72895,1.14287,0.94332,0.87592,0.94278,0.73716,0.80742,0.5629,1.03517,0.0018218,0.0018218,0.0018218
11,1696.91,0.91061,0.70408,1.13579,0.92663,0.89599,0.94344,0.73431,0.79804,0.57032,1.04675,0.001802,0.001802,0.001802
12,1887.71,0.88845,0.6827,1.12774,0.91788,0.86846,0.92537,0.73075,0.80251,0.60601,1.04393,0.0017822,0.0017822,0.0017822
13,2102.68,0.87729,0.66655,1.11799,0.94107,0.90054,0.95059,0.73676,0.81552,0.5507,1.04703,0.0017624,0.0017624,0.0017624
14,2308.74,0.87786,0.66474,1.11877,0.92546,0.85213,0.93268,0.71702,0.84526,0.57531,1.08699,0.0017426,0.0017426,0.0017426
