epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.692,1.29331,1.54042,1.49225,0.4872,0.46383,0.43019,0.20975,1.58465,7.22602,1.82131,0.000665739,0.000665739,0.000665739
2,370.432,1.50076,1.61576,1.61988,0.68509,0.59255,0.64039,0.38407,1.13556,26.5202,1.3033,0.00131922,0.00131922,0.00131922
3,539.185,1.38948,1.47871,1.5415,0.65939,0.62046,0.64604,0.39555,1.10902,10.1848,1.26251,0.00195949,0.00195949,0.00195949
4,699.521,1.29138,1.32976,1.46516,0.80669,0.67908,0.7813,0.52685,0.99171,7.16042,1.16401,0.0019406,0.0019406,0.0019406
5,862.225,1.20557,1.20872,1.40366,0.80491,0.78928,0.8631,0.62428,0.82058,6.94028,1.03656,0.0019208,0.0019208,0.0019208
6,1023.79,1.11989,1.07767,1.34556,0.86119,0.80994,0.88796,0.65996,0.78645,4.40321,1.01589,0.001901,0.001901,0.001901
7,1185.19,1.09116,1.03269,1.31901,0.84034,0.76498,0.85679,0.61425,0.81387,8.87569,1.05085,0.0018812,0.0018812,0.0018812
8,1346.04,1.04236,0.98879,1.29068,0.8455,0.83478,0.88062,0.6662,0.71956,4.64278,0.96695,0.0018614,0.0018614,0.0018614
9,1507.4,1.00671,0.94872,1.26684,0.84945,0.86213,0.90616,0.70814,0.69752,3.55174,0.95534,0.0018416,0.0018416,0.0018416
10,1668.66,0.97478,0.92812,1.25074,0.89008,0.8323,0.90545,0.71898,0.66692,4.42624,0.92725,0.0018218,0.0018218,0.0018218
11,1832.15,0.95193,0.89549,1.23203,0.85817,0.82678,0.88415,0.70318,0.6601,5.97278,0.92672,0.001802,0.001802,0.001802
12,1994.22,0.94935,0.87138,1.22771,0.89922,0.84239,0.92033,0.72732,0.65839,4.9367,0.92602,0.0017822,0.0017822,0.0017822
13,2157.2,0.91993,0.84678,1.21005,0.90324,0.85093,0.93111,0.75233,0.61449,3.08424,0.91108,0.0017624,0.0017624,0.0017624
14,2323.25,0.89273,0.80062,1.19209,0.90498,0.85466,0.9288,0.74896,0.61571,3.83989,0.89326,0.0017426,0.0017426,0.0017426
15,2484.68,0.88175,0.80269,1.18548,0.88261,0.89565,0.93845,0.77293,0.5725,2.83782,0.86942,0.0017228,0.0017228,0.0017228
16,2647.36,0.86575,0.77328,1.1803,0.94969,0.84969,0.93776,0.76624,0.57742,2.59033,0.86261,0.001703,0.001703,0.001703
17,2809.84,0.86876,0.75636,1.17848,0.92125,0.88646,0.94667,0.77175,0.60251,2.14894,0.88067,0.0016832,0.0016832,0.0016832
18,2972.72,0.84686,0.73312,1.15913,0.91171,0.87229,0.93437,0.74773,0.64263,2.84058,0.91857,0.0016634,0.0016634,0.0016634
19,3135.4,0.83417,0.72094,1.16606,0.90663,0.88075,0.94421,0.79125,0.56596,2.62342,0.87043,0.0016436,0.0016436,0.0016436
20,3298.25,0.82371,0.70591,1.14936,0.94344,0.88571,0.95293,0.75822,0.59751,1.87621,0.87495,0.0016238,0.0016238,0.0016238
21,3461.19,0.81242,0.70493,1.15045,0.94343,0.87453,0.94947,0.79059,0.5635,1.84022,0.84805,0.001604,0.001604,0.001604
22,3623.86,0.80517,0.69468,1.14543,0.93426,0.8795,0.94473,0.79205,0.53923,3.01686,0.84329,0.0015842,0.0015842,0.0015842
23,3789.63,0.79342,0.68864,1.13311,0.91525,0.91056,0.94982,0.79846,0.53992,2.64936,0.84476,0.0015644,0.0015644,0.0015644
24,3952.4,0.77622,0.66235,1.11954,0.92119,0.9002,0.94926,0.80465,0.5361,4.50898,0.82943,0.0015446,0.0015446,0.0015446
25,4116.06,0.76706,0.64833,1.11692,0.9342,0.89951,0.95881,0.81178,0.52696,2.22323,0.82573,0.0015248,0.0015248,0.0015248
26,4279.58,0.76924,0.64757,1.12065,0.93356,0.92509,0.96077,0.81455,0.52512,1.79729,0.84429,0.001505,0.001505,0.001505
27,4443.03,0.75256,0.6448,1.11291,0.95054,0.90711,0.96211,0.81805,0.49857,1.55617,0.82014,0.0014852,0.0014852,0.0014852
28,4607.77,0.74235,0.62847,1.108,0.9313,0.91056,0.95752,0.8056,0.54394,1.73956,0.84758,0.0014654,0.0014654,0.0014654
29,4771.44,0.73577,0.61682,1.09558,0.95526,0.9018,0.95848,0.81581,0.50172,2.63072,0.81958,0.0014456,0.0014456,0.0014456
30,4936.58,0.73228,0.61783,1.09965,0.94818,0.91056,0.95764,0.81365,0.50878,2.50771,0.82486,0.0014258,0.0014258,0.0014258
31,5099.08,0.7398,0.61797,1.1011,0.95701,0.90435,0.96168,0.82993,0.49701,1.28651,0.82239,0.001406,0.001406,0.001406
32,5262.07,0.71684,0.59932,1.08591,0.94696,0.92547,0.96606,0.83563,0.48696,1.46256,0.81361,0.0013862,0.0013862,0.0013862
33,5427.63,0.7016,0.58678,1.07263,0.94351,0.92298,0.95914,0.82802,0.48537,1.88989,0.8112,0.0013664,0.0013664,0.0013664
34,5592.41,0.70579,0.5901,1.07731,0.95852,0.91856,0.96152,0.83415,0.48323,1.3197,0.8093,0.0013466,0.0013466,0.0013466
35,5755.8,0.69699,0.57292,1.07046,0.9483,0.92422,0.95988,0.83458,0.47383,2.42126,0.80675,0.0013268,0.0013268,0.0013268
36,5920.73,0.69563,0.56678,1.0714,0.93373,0.93043,0.9632,0.82739,0.50061,1.18848,0.82416,0.001307,0.001307,0.001307
37,6084.12,0.68886,0.55689,1.07082,0.96103,0.91906,0.96729,0.8434,0.47466,1.36277,0.80802,0.0012872,0.0012872,0.0012872
38,6247.81,0.69291,0.55942,1.07212,0.94971,0.93168,0.96823,0.8397,0.47744,1.04592,0.81643,0.0012674,0.0012674,0.0012674
39,6412.44,0.68106,0.55177,1.06367,0.95276,0.9205,0.96889,0.84732,0.46846,1.85753,0.80087,0.0012476,0.0012476,0.0012476
40,6576.67,0.67572,0.54608,1.06723,0.95011,0.92273,0.96769,0.84851,0.45396,1.20664,0.78512,0.0012278,0.0012278,0.0012278
41,6740.94,0.66675,0.53751,1.05873,0.94012,0.93609,0.96928,0.84485,0.46378,2.1007,0.80225,0.001208,0.001208,0.001208
42,6903.97,0.65927,0.53025,1.05658,0.9588,0.92547,0.9687,0.85211,0.4632,1.55427,0.80254,0.0011882,0.0011882,0.0011882
43,7067.16,0.65813,0.52282,1.05299,0.94628,0.93292,0.96865,0.85256,0.46044,1.2295,0.80258,0.0011684,0.0011684,0.0011684
44,7233.07,0.65438,0.53351,1.05949,0.96715,0.91442,0.96854,0.85764,0.4631,1.1524,0.80763,0.0011486,0.0011486,0.0011486
45,7398.41,0.65378,0.51408,1.05243,0.96989,0.92027,0.96869,0.85574,0.44713,1.08566,0.79365,0.0011288,0.0011288,0.0011288
46,7561.7,0.63985,0.50817,1.04082,0.96314,0.93416,0.97054,0.85618,0.443,1.20553,0.79225,0.001109,0.001109,0.001109
47,7725.03,0.63553,0.5102,1.04252,0.9594,0.93927,0.97521,0.85358,0.45641,1.39934,0.80273,0.0010892,0.0010892,0.0010892
48,7888.84,0.63615,0.50161,1.04106,0.95089,0.93802,0.97168,0.85556,0.44556,1.22388,0.78985,0.0010694,0.0010694,0.0010694
49,8052.15,0.62715,0.49251,1.03737,0.96075,0.9425,0.97523,0.8595,0.45255,1.14586,0.80249,0.0010496,0.0010496,0.0010496
50,8217.23,0.61769,0.48598,1.03609,0.96899,0.93153,0.9738,0.86459,0.45318,0.92166,0.80479,0.0010298,0.0010298,0.0010298
51,8382.09,0.62311,0.47297,1.03556,0.95964,0.94505,0.97575,0.86363,0.43258,0.74484,0.77549,0.00101,0.00101,0.00101
52,8545.19,0.60883,0.4834,1.02721,0.94666,0.94795,0.96926,0.86021,0.44883,1.18589,0.79781,0.0009902,0.0009902,0.0009902
53,8708.19,0.60925,0.48068,1.02459,0.96429,0.94907,0.97782,0.86433,0.46001,1.27165,0.80948,0.0009704,0.0009704,0.0009704
54,8871.85,0.60791,0.47823,1.02624,0.94696,0.95369,0.97843,0.86584,0.44689,0.59838,0.80637,0.0009506,0.0009506,0.0009506
55,9034.23,0.60121,0.47096,1.02255,0.9581,0.93416,0.9748,0.86449,0.44181,0.66699,0.79712,0.0009308,0.0009308,0.0009308
56,9197.95,0.59212,0.46083,1.01489,0.95625,0.94658,0.97913,0.87546,0.42494,0.58111,0.78034,0.000911,0.000911,0.000911
57,9363.45,0.60345,0.46228,1.02456,0.94737,0.95901,0.97518,0.87505,0.42035,0.55311,0.77921,0.0008912,0.0008912,0.0008912
58,9529.17,0.58604,0.44753,1.01335,0.9677,0.94783,0.97739,0.87751,0.42506,0.65408,0.78737,0.0008714,0.0008714,0.0008714
59,9692.43,0.58575,0.44313,1.01188,0.95633,0.95205,0.97541,0.86727,0.42455,0.86959,0.78027,0.0008516,0.0008516,0.0008516
60,9855.49,0.5753,0.44162,1.00708,0.97283,0.93168,0.9769,0.87443,0.41682,0.73375,0.77564,0.0008318,0.0008318,0.0008318
61,10019.3,0.58047,0.44664,1.01246,0.96875,0.94286,0.97393,0.87242,0.40591,0.78136,0.76708,0.000812,0.000812,0.000812
62,10237.7,0.56829,0.43044,1.00533,0.97047,0.93897,0.97465,0.87497,0.40856,0.9545,0.77498,0.0007922,0.0007922,0.0007922
63,10439.2,0.55771,0.43503,1.00097,0.96178,0.93771,0.97173,0.87743,0.40204,1.00417,0.76584,0.0007724,0.0007724,0.0007724
64,10601.1,0.55158,0.42339,0.99818,0.9667,0.93758,0.97785,0.88494,0.40993,0.76996,0.77441,0.0007526,0.0007526,0.0007526
65,10764.1,0.54906,0.41656,0.9962,0.95957,0.94335,0.9759,0.88068,0.39088,0.97384,0.76816,0.0007328,0.0007328,0.0007328
66,10927.8,0.54726,0.41428,0.99599,0.95742,0.94962,0.97673,0.88382,0.40286,0.66732,0.76894,0.000713,0.000713,0.000713
67,11090.8,0.53977,0.41353,0.99653,0.96335,0.94685,0.9764,0.88272,0.39889,0.71907,0.76254,0.0006932,0.0006932,0.0006932
68,11255.8,0.55612,0.41882,0.9985,0.97682,0.94211,0.97842,0.87759,0.38708,0.71452,0.75403,0.0006734,0.0006734,0.0006734
69,11419.7,0.53667,0.40939,0.98826,0.9569,0.95404,0.97894,0.88763,0.38796,0.72871,0.75165,0.0006536,0.0006536,0.0006536
70,11582.7,0.54032,0.4119,0.98873,0.96597,0.95201,0.97906,0.8838,0.40845,0.86746,0.76726,0.0006338,0.0006338,0.0006338
71,11744.9,0.53557,0.41024,0.98821,0.97258,0.95528,0.97912,0.89024,0.40105,0.8397,0.76056,0.000614,0.000614,0.000614
72,11907.8,0.53199,0.40146,0.98625,0.96793,0.9528,0.98103,0.89128,0.39043,0.73374,0.75231,0.0005942,0.0005942,0.0005942
73,12071.6,0.52847,0.40037,0.98384,0.97084,0.95125,0.98142,0.89079,0.39994,0.8467,0.76091,0.0005744,0.0005744,0.0005744
74,12250.3,0.53205,0.39596,0.98613,0.96788,0.95652,0.97994,0.88707,0.40106,0.68929,0.76492,0.0005546,0.0005546,0.0005546
75,12535.8,0.51737,0.39168,0.97987,0.97464,0.95467,0.97988,0.88846,0.40191,0.6794,0.76758,0.0005348,0.0005348,0.0005348
76,12740,0.51026,0.38393,0.9754,0.96957,0.94986,0.97869,0.88863,0.39287,0.75244,0.75858,0.000515,0.000515,0.000515
77,12900.8,0.51551,0.38237,0.97554,0.96617,0.95793,0.98098,0.88954,0.39019,0.67683,0.75613,0.0004952,0.0004952,0.0004952
78,13063.5,0.51397,0.38134,0.97966,0.96903,0.96025,0.98072,0.89292,0.37385,0.59057,0.74944,0.0004754,0.0004754,0.0004754
79,13230.5,0.50028,0.37002,0.97216,0.96857,0.95901,0.97793,0.89264,0.37811,0.78357,0.74787,0.0004556,0.0004556,0.0004556
80,13392.8,0.5081,0.37227,0.97514,0.97102,0.95742,0.97682,0.88846,0.3781,0.64708,0.75046,0.0004358,0.0004358,0.0004358
81,13555.8,0.49499,0.36537,0.96812,0.97471,0.95772,0.97656,0.8913,0.37912,0.77658,0.74825,0.000416,0.000416,0.000416
82,13718.3,0.4937,0.36429,0.96682,0.97651,0.95528,0.97833,0.89105,0.38237,0.63536,0.74964,0.0003962,0.0003962,0.0003962
83,13883.3,0.49163,0.36322,0.96447,0.97147,0.95528,0.97948,0.89377,0.39227,0.65561,0.75308,0.0003764,0.0003764,0.0003764
