epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1939.96,0.70272,0.59854,1.09307,0.94952,0.93844,0.96915,0.81428,0.61146,1.19792,0.9748,0.00999827,0.00333276,0.00999827,0.00333276,0.00999827,0.00333276,0.00999827,0.00333276
2,3368.23,0.80888,0.63545,1.15353,0.95727,0.94018,0.97316,0.83022,0.57202,1.29449,0.97408,0.0198663,0.00662209,0.0198663,0.00662209,0.0198663,0.00662209,0.0198663,0.00662209
3,4808.37,0.8581,0.67774,1.18584,0.95946,0.94006,0.97538,0.83196,0.57763,1.39439,0.98575,0.0296023,0.00986743,0.0296023,0.00986743,0.0296023,0.00986743,0.0296023,0.00986743
4,6251.6,0.82753,0.63832,1.16742,0.95992,0.95635,0.97728,0.86098,0.49747,1.6162,0.93435,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,7690.21,0.74689,0.55634,1.11614,0.96551,0.9612,0.98143,0.87635,0.45824,1.43939,0.91238,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,9133.72,0.70102,0.51356,1.09087,0.96854,0.96466,0.98567,0.89143,0.4304,1.14623,0.88603,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,10574.7,0.67031,0.48644,1.07269,0.96738,0.97255,0.98684,0.89838,0.41018,0.94922,0.87713,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,12014.1,0.64953,0.46537,1.06165,0.97147,0.97512,0.98864,0.90417,0.39474,0.78689,0.86942,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,13457.9,0.63433,0.44864,1.0515,0.97482,0.97484,0.9888,0.90867,0.38509,0.79769,0.86157,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,14900.6,0.62381,0.43864,1.04739,0.9765,0.97427,0.98915,0.91198,0.37582,0.78905,0.85584,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,16336.1,0.60908,0.42669,1.03837,0.97698,0.97531,0.99047,0.91627,0.36663,0.71595,0.85117,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,17776.7,0.59823,0.41809,1.03347,0.97757,0.97633,0.99009,0.91762,0.36032,0.69933,0.84781,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
