name,location_name,utc_hour,detections
African Savanna Live,"Palm Desert, CA",0,138
African Savanna Live,"Palm Desert, CA",1,192
African Savanna Live,"Palm Desert, CA",2,198
African Savanna Live,"Palm Desert, CA",3,120
African Savanna Live,"Palm Desert, CA",4,4
African Savanna Live,"Palm Desert, CA",5,6
African Savanna Live,"Palm Desert, CA",6,16
African Savanna Live,"Palm Desert, CA",7,1
African Savanna Live,"Palm Desert, CA",8,1
African Savanna Live,"Palm Desert, CA",9,6
African Savanna Live,"Palm Desert, CA",12,128
African Savanna Live,"Palm Desert, CA",13,1055
African Savanna Live,"Palm Desert, CA",14,2964
African Savanna Live,"Palm Desert, CA",15,4218
African Savanna Live,"Palm Desert, CA",16,4856
African Savanna Live,"Palm Desert, CA",17,4444
African Savanna Live,"Palm Desert, CA",18,4308
African Savanna Live,"Palm Desert, CA",19,3545
African Savanna Live,"Palm Desert, CA",20,2834
African Savanna Live,"Palm Desert, CA",21,908
African Savanna Live,"Palm Desert, CA",22,347
African Savanna Live,"Palm Desert, CA",23,97
Bear Habitat Cam Front,"Grouse Mountain, BC",0,1
Bear Habitat Cam Front,"Grouse Mountain, BC",1,4
Bear Habitat Cam Front,"Grouse Mountain, BC",2,32
Bear Habitat Cam Front,"Grouse Mountain, BC",3,53
Bear Habitat Cam Front,"Grouse Mountain, BC",4,5
Bear Habitat Cam Front,"Grouse Mountain, BC",7,14
Bear Habitat Cam Front,"Grouse Mountain, BC",8,3
Bear Habitat Cam Front,"Grouse Mountain, BC",15,44
Bear Habitat Cam Front,"Grouse Mountain, BC",16,125
Bear Habitat Cam Front,"Grouse Mountain, BC",17,22
Bear Habitat Cam Front,"Grouse Mountain, BC",18,12
Bear Habitat Cam Front,"Grouse Mountain, BC",19,22
Bear Habitat Cam Front,"Grouse Mountain, BC",20,2
Bear Habitat Cam Front,"Grouse Mountain, BC",21,8
Bear Habitat Cam Front,"Grouse Mountain, BC",23,5
Bear Pond,"Grouse Mountain, BC",0,44
Bear Pond,"Grouse Mountain, BC",1,43
Bear Pond,"Grouse Mountain, BC",2,83
Bear Pond,"Grouse Mountain, BC",3,10
Bear Pond,"Grouse Mountain, BC",5,9
Bear Pond,"Grouse Mountain, BC",11,6
Bear Pond,"Grouse Mountain, BC",12,6
Bear Pond,"Grouse Mountain, BC",15,5
Bear Pond,"Grouse Mountain, BC",16,63
Bear Pond,"Grouse Mountain, BC",17,63
Bear Pond,"Grouse Mountain, BC",18,32
Bear Pond,"Grouse Mountain, BC",20,20
Bear Pond,"Grouse Mountain, BC",21,69
Bear Pond,"Grouse Mountain, BC",22,60
Bear Pond,"Grouse Mountain, BC",23,70
Bear Yard Cam,"Grouse Mountain, BC",0,111
Bear Yard Cam,"Grouse Mountain, BC",1,91
Bear Yard Cam,"Grouse Mountain, BC",2,168
Bear Yard Cam,"Grouse Mountain, BC",3,57
Bear Yard Cam,"Grouse Mountain, BC",5,5
Bear Yard Cam,"Grouse Mountain, BC",9,26
Bear Yard Cam,"Grouse Mountain, BC",10,12
Bear Yard Cam,"Grouse Mountain, BC",11,5
Bear Yard Cam,"Grouse Mountain, BC",16,15
Bear Yard Cam,"Grouse Mountain, BC",17,9
Bear Yard Cam,"Grouse Mountain, BC",18,64
Bear Yard Cam,"Grouse Mountain, BC",19,64
Bear Yard Cam,"Grouse Mountain, BC",20,131
Bear Yard Cam,"Grouse Mountain, BC",21,101
Bear Yard Cam,"Grouse Mountain, BC",22,35
Bear Yard Cam,"Grouse Mountain, BC",23,34
Black-footed Ferret Cam,"Washington, DC",0,1143
Black-footed Ferret Cam,"Washington, DC",1,1176
Black-footed Ferret Cam,"Washington, DC",2,1399
Black-footed Ferret Cam,"Washington, DC",3,1332
Black-footed Ferret Cam,"Washington, DC",4,1380
Black-footed Ferret Cam,"Washington, DC",5,1346
Black-footed Ferret Cam,"Washington, DC",6,1380
Black-footed Ferret Cam,"Washington, DC",7,1269
Black-footed Ferret Cam,"Washington, DC",8,1104
Black-footed Ferret Cam,"Washington, DC",9,1188
Black-footed Ferret Cam,"Washington, DC",10,1190
Black-footed Ferret Cam,"Washington, DC",11,1280
Black-footed Ferret Cam,"Washington, DC",12,1577
Black-footed Ferret Cam,"Washington, DC",13,1613
Black-footed Ferret Cam,"Washington, DC",14,1622
Black-footed Ferret Cam,"Washington, DC",15,1475
Black-footed Ferret Cam,"Washington, DC",16,1585
Black-footed Ferret Cam,"Washington, DC",17,1650
Black-footed Ferret Cam,"Washington, DC",18,1416
Black-footed Ferret Cam,"Washington, DC",19,1528
Black-footed Ferret Cam,"Washington, DC",20,1336
Black-footed Ferret Cam,"Washington, DC",21,1324
Black-footed Ferret Cam,"Washington, DC",22,1342
Black-footed Ferret Cam,"Washington, DC",23,1550
Congo Dome,"Bronx, NY",0,50
Congo Dome,"Bronx, NY",9,62
Congo Dome,"Bronx, NY",10,55
Congo Dome,"Bronx, NY",11,95
Congo Dome,"Bronx, NY",12,83
Congo Dome,"Bronx, NY",13,129
Congo Dome,"Bronx, NY",14,470
Congo Dome,"Bronx, NY",15,308
