name,location_name,detections
Black-footed Ferret Cam,"Washington, DC",31716
African Savanna Live,"Palm Desert, CA",28706
Elephant Cam,"Washington, DC",17500
Giraffe Webcam,"Bronx, NY",15092
Rhino Savanna Cam,"Palm Desert, CA",12502
Giraffe Habitat,"Oakland, CA",12314
Giant Panda Cam,"Washington, DC",7709
Georgia Aquarium,"Atlanta, GA",5491
Cougar Cam,"Boston, MA",5095
Madagascar Habitat,Zoo Exhibit,4101
Sea Otters,Zoo Exhibit,4089
Naked Mole-Rat Cam,"Washington, DC",3873
Congo Dome,"Bronx, NY",2277
Lion Cam,"Washington, DC",1725
Gorilla Cam,"Zoo New England, MA",1505
Sea Lion Cam,"Bronx Zoo, NY",1416
Bear Yard Cam,"Grouse Mountain, BC",894
Wolf Cam,"Zoo New England, MA",674
Bear Pond,"Grouse Mountain, BC",581
Bear Habitat Cam Front,"Grouse Mountain, BC",346
